λ(μm)	k(λ)	n(λ)
0.200	1.1e-7	1.396
0.225	4.9e-8	1.373
0.250	3.35e-8	1.362
0.275	2.35e-8	1.354
0.300	1.6e-8	1.349
0.325	1.08e-8	1.346
0.350	6.5e-9	1.343
0.375	3.5e-9	1.341
0.400	1.86e-9	1.339
0.425	1.3e-9	1.338
0.450	1.02e-9	1.337
0.475	9.35e-10	1.336
0.500	1.00e-9	1.335
0.525	1.32e-9	1.334
0.550	1.96e-9	1.333
0.575	3.60e-9	1.333
0.600	1.09e-8	1.332
0.625	1.39e-8	1.332
0.650	1.64e-8	1.331
0.675	2.23e-8	1.331
0.700	3.35e-8	1.331
0.725	9.15e-8	1.330
0.750	1.56e-7	1.330
0.775	1.48e-7	1.330
0.800	1.25e-7	1.329
0.825	1.82e-7	1.329
0.850	2.93e-7	1.329
0.875	3.91e-7	1.328
0.900	4.86e-7	1.328
0.925	1.06e-6	1.328
0.950	2.93e-6	1.327
0.975	3.48e-6	1.327
1.0	2.89e-6	1.327
1.2	9.89e-6	1.324
1.4	1.38e-4	1.321
1.6	8.55e-5	1.317
1.8	1.15e-4	1.312
2.0	1.1e-3	1.306
2.2	2.89e-4	1.296
2.4	9.56e-4	1.279
2.6	3.17e-3	1.242
2.65	6.7e-3	1.219
2.70	0.019	1.188
2.75	0.059	1.157
2.80	0.115	1.142
2.85	0.185	1.149
2.90	0.268	1.201
2.95	0.298	1.292
3.00	0.272	1.371
3.05	0.240	1.426
3.10	0.192	1.467
3.15	0.135	1.483
3.20	0.0924	1.478
3.25	0.0610	1.467
3.30	0.0368	1.450
3.35	0.0261	1.432
3.40	0.0195	1.420
3.45	0.0132	1.410
3.50	0.0094	1.400
3.6	0.00515	1.385
3.7	0.00360	1.374
3.8	0.00340	1.364
3.9	0.00380	1.357
4.0	0.00460	1.351
4.1	0.00562	1.346
4.2	0.00688	1.342
4.3	0.00845	1.338
4.4	0.0103	1.334
4.5	0.0134	1.332
4.6	0.0147	1.330
4.7	0.0157	1.330
4.8	0.0150	1.330
4.9	0.0137	1.328
5.0	0.0124	1.325
5.1	0.0111	1.322
5.2	0.0101	1.317
5.3	0.0098	1.312
5.4	0.0103	1.305
5.5	0.0116	1.298
5.6	0.0142	1.289
5.7	0.0203	1.277
5.8	0.0330	1.262
5.9	0.0622	1.248
6.0	0.107	1.265
6.1	0.131	1.319
6.2	0.0880	1.363
6.3	0.0570	1.357
6.4	0.0449	1.347
6.5	0.0392	1.339
6.6	0.0356	1.334
6.7	0.0337	1.329
6.8	0.0327	1.324
6.9	0.0322	1.321
7.0	0.0320	1.317
7.1	0.0320	1.314
7.2	0.0321	1.312
7.3	0.0322	1.309
7.4	0.0324	1.307
7.5	0.0326	1.304
7.6	0.0328	1.302
7.7	0.0331	1.299
7.8	0.0335	1.297
7.9	0.0339	1.294
8.0	0.0343	1.291
8.2	0.0351	1.286
8.4	0.0361	1.281
8.6	0.0372	1.275
8.8	0.0385	1.269
9.0	0.0399	1.262
9.2	0.0415	1.255
9.4	0.0433	1.247
9.6	0.0454	1.239
9.8	0.0479	1.229
10.0	0.0508	1.218
10.5	0.0662	1.185
11.0	0.0968	1.153
11.5	0.142	1.126
12.0	0.199	1.111
12.5	0.259	1.123
13.0	0.305	1.146
13.5	0.343	1.177
14.0	0.370	1.210
14.5	0.388	1.241
15.0	0.402	1.270
15.5	0.414	1.297
16.0	0.422	1.325
16.5	0.428	1.351
17.0	0.429	1.376
17.5	0.429	1.401
18.0	0.426	1.423
18.5	0.421	1.443
19.0	0.414	1.461
19.5	0.404	1.476
20.0	0.393	1.480
21.0	0.382	1.487
22	0.373	1.500
23	0.367	1.511
24	0.361	1.521
25	0.356	1.531
26	0.350	1.539
27	0.344	1.545
28	0.338	1.549
29	0.333	1.551
30	0.328	1.551
32	0.324	1.546
34	0.329	1.536
36	0.343	1.527
38	0.361	1.522
40	0.385	1.519
42	0.409	1.522
44	0.436	1.530
46	0.462	1.541
48	0.488	1.555
50	0.514	1.587
60	0.587	1.703
70	0.576	1.821
80	0.547	1.886
90	0.536	1.924
100	0.532	1.957
110	0.531	1.966
120	0.526	2.004
130	0.514	2.036
140	0.500	2.056
150	0.495	2.069
160	0.496	2.081
170	0.497	2.094
180	0.499	2.107
190	0.501	2.119
200	0.504	2.130
